label,run_dir,method,sparse_selection,keep_ratio,keep_percent,final_round,final_global_accuracy,final_global_loss,final_global_ece,best_global_accuracy,best_global_accuracy_round,best_global_ece,best_global_ece_round,cumulative_dense_bytes,cumulative_sparse_bytes,cumulative_sparse_MB,cumulative_saving_ratio,mean_update_energy_retention,selected_score_mean,dropped_score_mean,selected_minus_dropped_score_mean
vi_bayesian_keep100,outputs/sparse_selection_ablation_mnist_noniid_unbalanced/vi_sparse_bayesian_keep100_seed42,vi,bayesian,1.0,100.0,200.0,0.6335,1.015184303665161,0.07491589420884849,0.836,158.0,0.01884940259158614,123.0,2198232000.0,2198232000.0,2096.3973999023438,0.0,1.0,0.0074478333563519255,nan,nan
vi_bayesian_keep050,outputs/sparse_selection_ablation_mnist_noniid_unbalanced/vi_sparse_bayesian_keep050_seed42,vi,bayesian,0.5,50.0,200.0,0.8009,0.6061969551086426,0.04552116061002017,0.8819,125.0,0.015978419768810266,106.0,2198232000.0,2747790000.0,2620.4967498779297,-0.25,0.9376108285003498,0.013946348405842465,0.004206539241540175,0.009739809164302289
vi_bayesian_keep010,outputs/sparse_selection_ablation_mnist_noniid_unbalanced/vi_sparse_bayesian_keep010_seed42,vi,bayesian,0.1,10.0,200.0,0.8774,0.41169147157669067,0.03135009288191796,0.901,180.0,0.018296515317261165,180.0,2198232000.0,549558000.0,524.0993499755859,0.75,0.535372355302562,0.030026492559354946,0.012882047924903812,0.017144444634451132
vi_bayesian_keep005,outputs/sparse_selection_ablation_mnist_noniid_unbalanced/vi_sparse_bayesian_keep005_seed42,vi,bayesian,0.05,5.0,200.0,0.8548,0.5186132022380829,0.050610509596764976,0.8689,180.0,0.03257808820903302,0.0,2198232000.0,274806000.0,262.07542419433594,0.8749877174019849,0.3966471616392618,0.03711224482968282,0.01627939437109743,0.02083285045858539
vi_bayesian_keep002,outputs/sparse_selection_ablation_mnist_noniid_unbalanced/vi_sparse_bayesian_keep002_seed42,vi,bayesian,0.02,2.0,200.0,0.8449,0.5468099074363708,0.04761069694459434,0.853,179.0,0.03257808820903302,0.0,2198232000.0,109944000.0,104.85076904296875,0.9499852608823819,0.25980595546150487,0.044810365995878156,0.01961738661012957,0.025192979385748587
vi_random_keep100,outputs/sparse_selection_ablation_mnist_noniid_unbalanced/vi_sparse_random_keep100_seed42,vi,random,1.0,100.0,200.0,0.6335,1.015184303665161,0.07491589420884849,0.836,158.0,0.01884940259158614,123.0,2198232000.0,2198232000.0,2096.3973999023438,0.0,1.0,0.007447833356351926,nan,nan
vi_random_keep050,outputs/sparse_selection_ablation_mnist_noniid_unbalanced/vi_sparse_random_keep050_seed42,vi,random,0.5,50.0,200.0,0.7693,0.7719547916412354,0.1242268402427435,0.8274,125.0,0.009402925521135315,89.0,2198232000.0,2747790000.0,2620.4967498779297,-0.25,0.7068144288063424,0.008532741204553032,0.008541862820409443,-9.121615856410095e-06
vi_random_keep010,outputs/sparse_selection_ablation_mnist_noniid_unbalanced/vi_sparse_random_keep010_seed42,vi,random,0.1,10.0,200.0,0.8378,0.5162757192611694,0.021482412263751006,0.8429,195.0,0.005974583557248099,135.0,2198232000.0,549558000.0,524.0993499755859,0.75,0.31625489212888275,0.012663316481552571,0.012652385386300495,1.0931095252075806e-05
vi_random_keep005,outputs/sparse_selection_ablation_mnist_noniid_unbalanced/vi_sparse_random_keep005_seed42,vi,random,0.05,5.0,200.0,0.8205,0.5774266670703888,0.041163273923099035,0.8205,200.0,0.008336152043938646,127.0,2198232000.0,274806000.0,262.07542419433594,0.8749877174019849,0.2235890154527284,0.015551873089334556,0.015536759731400876,1.511335793367985e-05
vi_random_keep002,outputs/sparse_selection_ablation_mnist_noniid_unbalanced/vi_sparse_random_keep002_seed42,vi,random,0.02,2.0,200.0,0.7785,0.7205786593437195,0.08730092703998088,0.782,198.0,0.005893832246959205,88.0,2198232000.0,109944000.0,104.85076904296875,0.9499852608823819,0.141500698210788,0.018973705063801735,0.01892086526269108,5.283980111065595e-05
ola_bayesian_keep100,outputs/sparse_selection_ablation_mnist_noniid_unbalanced/ola_sparse_bayesian_keep100_seed42,ola,bayesian,1.0,100.0,200.0,0.7425,0.7474784123420716,0.0755281131491065,0.8808,125.0,0.007892485414445373,158.0,2198232000.0,2198232000.0,2096.3973999023438,0.0,1.0,3.549085345729197e-07,nan,nan
